row_id,TEXT,LABEL,Polarity_Score,irony_score
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,0.0417,0.750190258
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,-0.075,0.28976661
2,"the price was good ,  and came quickly though my prime membership .",1,0.5167,0.50777185
3,i was looking forward to this game for a couple of num_extend,0,-0.4,0.084190309
4,arguably the year 's silliest and most incoherent movie .,0,0.15,0.539435685
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,0.45,0.194292784
6,anyway i recommend this one for its price and quality .,1,0,0.064239204
7,it seems to be of very good quality in its build .,1,0.91,0.347481728
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,0,0.290731847
9,they get into the corners as described and are flexible yet firm .,1,-0.2,0.081505835
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,0,0.18102479
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,0.025,0.263025463
12,a sermonizing and lifeless paean to teenage dullards .,0,0,0.849115133
13,the issue of faith is not explored very deeply,0,0,0.192640066
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,0.05,0.30055964
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,0.1167,0.56076324
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,-0.4667,0.080190659
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,0.2333,0.138180494
18,with this i say i work giving support to the u . s .,0,0,0.910535812
19,this meter is technology from a decade ago .,0,0,0.540263891
20,"they were huge ,  yet the same size in the leather is tight .",0,0.0738,0.38439548
21,it never fails to engage us .,1,0.25,0.74332577
22,it worked great for the first couple of weeks then it just stopped completely .,0,0.3833,0.583270788
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,0.1536,0.733766556
24,either than or the developers decided to do their own .,0,0.6,0.526258826
25,it 's neither as romantic nor as thrilling as it should be .,0,0.125,0.133055925
26,will update this review should it meet a similar fate to my previous wheel .,1,-0.0833,0.050054908
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,0,0.19080621
28,but this time there 's some mold on the gold .,0,0,0.223108709
29,i won t give this to the new puppy i m getting .,0,0.1364,0.058090985
30,i have never had a pleasant experience with the customer support at cuisnart .,1,0.7333,0.439616621
31,pretty much all i ask for in a grinder .,1,0.225,0.289722562
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1,0.7,0.598092198
33,"also ,  it creates more static than the one i m used to .",0,0.5,0.645464242
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,0.25,0.326435566
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,0.3333,0.140666187
36,"a triumph , relentless and beautiful in its downbeat darkness .",1,0.85,0.217079639
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,0.65,0.20382154
38,perfect size for preparing dishes . it really works well .,1,0.6,0.775532544
39,it keeps the air clean and nice fresh smelling .,1,0.4222,0.878812492
40,i do n't have an i am sam clue .,0,0,0.066757262
41,but the back side looks nice as well .,1,0.3,0.263756454
42,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,-0.2938,0.301262379
43,think of it as a sort of comfort food for the mind .,1,0,0.59384656
44,this keeps the cord out of the way and above the board .,1,0,0.257836044
45,"what will , most likely , turn out to be the most repellent movie of 2002 .",0,0.025,0.626615286
46,item arrived in num_num days in bulk packaging exactly like j .,1,0.25,0.258143365
47,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,0.1,0.758834898
48,"and ,  there were many things we liked about this game .",0,0.2333,0.915006757
49,what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,0.0833,0.651638031
