TEXT,LABEL,Polarity_Score,Category
director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,0.0417,central
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,-0.075,central
anyway i recommend this one for its price and quality .,1,0.0,central
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,0.0,central
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,0.0,central
"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,0.025,central
a sermonizing and lifeless paean to teenage dullards .,0,0.0,central
the issue of faith is not explored very deeply,0,0.0,central
armada lacks the epic scope of similar games like homeworld or even starcraft .,0,0.05,central
with this i say i work giving support to the u . s .,0,0.0,central
this meter is technology from a decade ago .,0,0.0,central
"they were huge ,  yet the same size in the leather is tight .",0,0.0738,central
will update this review should it meet a similar fate to my previous wheel .,1,-0.0833,central
i cannot recommend this product for anyone trying to fix a leaky transmission .,0,0.0,central
but this time there 's some mold on the gold .,0,0.0,central
i do n't have an i am sam clue .,0,0.0,central
think of it as a sort of comfort food for the mind .,1,0.0,central
this keeps the cord out of the way and above the board .,1,0.0,central
"what will , most likely , turn out to be the most repellent movie of 2002 .",0,0.025,central
a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,0.1,central
what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,0.0833,central
thank heaven the operation is intuitive because there are no instructions .,0,0.0,central
this is junk food cinema at its greasiest .,0,0.0,central
"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,0.0,central
"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,0.0375,central
"static , repetitive , muddy and blurry , hey arnold !",0,0.0938,central
the movie will reach far beyond its core demographic .,1,0.1,central
one to another company and two to amazon . com .,1,0.0,central
"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,-0.0492,central
the material that it is made of is like a dirt magnet .,0,0.0,central
a meeting my phone is in the bag charging .,1,0.0,central
if you can afford it step up to something that will last .,0,0.0,central
i would not trust anything bigger than iphone num_extend,0,0.0,central
i was concerned for the price that these measuring cups would be flimsy .,1,0.0,central
"usually when i get this much syrup , i like pancakes to go with it .",0,-0.025,central
trying to slide to a different screen instantly turns it back off .,0,0.0,central
steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,0.0,central
that is sufficiently minor as to not affect my rating .,1,-0.05,central
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,0.0,central
life is a crock -- or something like it .,0,0.0,central
replaced my pampered chef garlic press with this one .,1,0.0,central
i have read reviews from wine experts that it doesn t work .,1,0.0,central
fear dot com is so rambling and disconnected it never builds any suspense .,0,0.0,central
i think i will return and stick with wool gloves .,0,0.0,central
"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,-0.0222,central
"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,-0.0935,central
i think this size wont do a bigger bird than num_num pounds .,1,0.0,central
the last time i did it was a year ago  .,1,0.0,central
i purchased two to mount horizontally under the shelves of my kitchen island .,1,0.0,central
"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,-0.025,central
"toasts bread ,  muffins and bagels with lots of options to choose .",1,0.0,central
"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,0.0,central
a film that is a portrait of grace in an imperfect world .,1,0.0,central
"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,0.0958,central
i use it charge my batteries since my usb port is not an option .,1,0.0,central
but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,0.0,central
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,0.0,central
no. .,0,0.0,central
this case is far from what i expected .,0,0.0,central
"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,0.049,central
the smartest bonehead comedy of the summer .,1,0.0,central
i made flour tortillas that night for our mexican burrito dinner .,1,0.0,central
i would not buy anything else from this vendor .,0,0.0,central
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,0.0,central
not to mention it did not fit my screen completely .,0,-0.05,central
"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0,0.0,central
my dish feels very solid to the touch .,1,0.0,central
"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,0.0,central
we have been treating our hair for months and finally got this .,0,0.0,central
i bought this set for our toaster oven .,0,0.0,central
just hurry up and play the darn song and move on for goodness sake .,0,0.0,central
this one does the job i need it for !  .,1,0.0,central
this did not stop odor and my pets wanted to eat it .,0,0.0,central
he s heavy and stable enough to not tip over when it s windy .,1,-0.1,central
and do not remove part one of the screen until part two is applied .,1,0.0,central
i may even give some as gifts this holiday season .,1,0.0,central
"it it pretty hardy ,  i haven t broken it yet .",1,-0.075,central
i cannot wait to show it off ! thank you !  .,1,0.0,central
i though it would be faster and easier but it wasn t .,1,0.0,central
i tried everything short of breaking the thing open .,0,0.0,central
"its like that showtime rotisserrie oven ,  you set it and forget it .",1,0.0,central
i ordered these from amazon since i could find them nowhere in my area .,0,0.0,central
i put in a password but router won t recoginize it .,0,0.0,central
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1,0.0,central
i got this as a gift for my son .,1,0.0,central
it basically picks up what is directly in front of it .,1,0.1,central
this style of meat pounder is sort of commodity like .,1,0.0,central
"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",0,-0.075,central
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,1,0.0,central
the wheel oftenly stuck and wont turn on its rail .,0,0.0,central
the cheese came out light and fluffy wished i had had one earlier .,1,0.0667,central
"too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through .",0,-0.0033,central
sugar is extremely addictive and does absolutely nothing for your body .,0,0.1,central
then into my phone and it chargers my phone .,1,0.0,central
i only ordered on here because they were alot cheaper .,0,0.0,central
i kept it though i do not use it .,0,0.0,central
despite the port breaking it gets num_extend stars .,1,0.0,central
the main flavor to come through is cinnamon and the slight sweetness of stevia .,0,0.0,central
we usually run it on low and it is relatively quite .,1,-0.0833,central
i can t believe i haven t owned one of these before .,1,0.0,central
a marvellous journey from childhood idealism to adolescent self-absorption .,1,0.0,central
it does this to a very significant degree and is extremely uncomfortable to wear .,0,-0.0062,central
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '",0,0.0,central
it worked for maybe num_num months then died .,0,0.0,central
this turner has worked well for the last few years .,1,-0.1,central
"synching is simple ,  with no passwords or codes required .",1,0.0,central
"the character is too forced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-the-top mix .",0,0.03,central
we miss the quirky amazement that used to come along for an integral part of the ride .,0,0.0,central
"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle .",0,0.0,central
"spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .",0,-0.0177,central
"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",1,0.0429,central
you 've seen them a million times .,0,0.0,central
will grab your children by the imagination and amaze them and amuse them .,1,0.0,central
"a thoughtful , moving piece that faces difficult issues with honesty and beauty .",1,-0.05,central
i did n't believe for a moment in these villains or their plot .,0,0.0,central
"one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating .",0,0.05,central
"only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents .",1,0.0068,central
"once the charger is removed ,  the phone starts working ,  again .",0,0.0,central
"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap .",1,0.0729,central
games like gem journey are easier to play with a stylus like this .,1,0.0,central
he read every amazon . com review as well as the zojirushi website .,1,0.0,central
"however ,  slicing up tons of veggies can be quite time consuming .",1,0.0,central
the recipe that comes with it is tasty .,1,0.0,central
"hand graters can be a mess to clean ,  especially under the handle .",1,0.0639,central
this is definitely not the case with the num_extend,1,0.0,central
looks like a high school film project completed the day before it was due .,0,0.0175,central
i also have to hold the headphone cord to keep it from flapping around .,0,0.0,central
"this version 's no classic like its predecessor , but its pleasures are still plentiful .",1,-0.0833,central
my first draft of this review was also way too long .,0,0.1,central
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",1,0.0,central
don t buy this unless you like replacing toasters .,0,0.0,central
"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of .",0,0.0322,central
a very stylish but ultimately extremely silly tale ... a slick piece of nonsense but nothing more .,0,0.1,central
"the computer recognized the usb connection ,  but the cursor never moved .",0,0.0,central
it s too bad because they look like they would keep my ears warm .,0,-0.05,central
this is the old faithful water filter pitcher .,1,0.1,central
just spend the extra bucks and buy an official one from apple .,0,0.0,central
the constriction on my dog caused him to sit .,0,0.0,central
its very similar to that type of style .,0,0.0,central
it was just what i expected it to be .,1,-0.1,central
it 's as flat as an open can of pop left sitting in the sun .,0,-0.0083,central
it did what it was supposed to do .,1,0.0,central
"i then emptied th coffee grinder and looked for an obstruction ,  none .",0,0.0,central
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it 's the ultimate redneck road-trip .",1,0.0,central
"it 's drained of life in an attempt to be sober and educational , and yet it 's so devoid of realism that its lack of whistles and bells just makes it obnoxious and stiff .",0,0.0089,central
"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .",1,0.0,central
place it in the freezer and close the door .,1,0.0,central
i threw it out because i can t take alcohol .,0,0.0,central
if you need a pot with this capacity num_extend qts  buy this one .,1,0.0,central
i have had two of these cans outside for over a year .,1,0.0,central
