text,label,polarity,category,,,,1,0
director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,0.041666667,‰∏≠Á? (Neutral),,,§§•ﬂ,358,448
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,-0.075,‰∏≠Á? (Neutral),,,∫Ÿ∆g,584,0
"the price was good ,  and came quickly though my prime membership .",1,0.516666667,Á®±Ë? (Praise),,,ßÂµ˚,0,290
i was looking forward to this game for a couple of num_extend,0,-0.4,?πË? (Criticism),,,≤V©M,39,239
arguably the year 's silliest and most incoherent movie .,0,0.15,?πË? (Criticism),,,§£ΩT©w,19,23
"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,0.45,Á®±Ë? (Praise),,,,,
anyway i recommend this one for its price and quality .,1,0,‰∏≠Á? (Neutral),,,,,
it seems to be of very good quality in its build .,1,0.91,Á®±Ë? (Praise),,,,,
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,0,‰∏≠Á? (Neutral),,,,,
they get into the corners as described and are flexible yet firm .,1,-0.2,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,0,‰∏çÁ¢∫ÂÆ?(Uncertain),,,,,
"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,0.025,‰∏≠Á? (Neutral),,,,,
a sermonizing and lifeless paean to teenage dullards .,0,0,‰∏≠Á? (Neutral),,,,,
the issue of faith is not explored very deeply,0,0,‰∏≠Á? (Neutral),,,,,
armada lacks the epic scope of similar games like homeworld or even starcraft .,0,0.05,‰∏≠Á? (Neutral),,,,,
"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,0.116666667,Á®±Ë? (Praise),,,,,
"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,-0.466666667,?πË? (Criticism),,,,,
"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,0.233333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
with this i say i work giving support to the u . s .,0,0,‰∏≠Á? (Neutral),,,,,
this meter is technology from a decade ago .,0,0,‰∏≠Á? (Neutral),,,,,
"they were huge ,  yet the same size in the leather is tight .",0,0.073809524,‰∏≠Á? (Neutral),,,,,
it never fails to engage us .,1,0.25,Á®±Ë? (Praise),,,,,
it worked great for the first couple of weeks then it just stopped completely .,0,0.383333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,0.153571429,Á®±Ë? (Praise),,,,,
either than or the developers decided to do their own .,0,0.6,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
it 's neither as romantic nor as thrilling as it should be .,0,0.125,?πË? (Criticism),,,,,
will update this review should it meet a similar fate to my previous wheel .,1,-0.083333333,‰∏≠Á? (Neutral),,,,,
i cannot recommend this product for anyone trying to fix a leaky transmission .,0,0,‰∏≠Á? (Neutral),,,,,
but this time there 's some mold on the gold .,0,0,‰∏≠Á? (Neutral),,,,,
i won t give this to the new puppy i m getting .,0,0.136363636,?πË? (Criticism),,,,,
i have never had a pleasant experience with the customer support at cuisnart .,1,0.733333333,Á®±Ë? (Praise),,,,,
pretty much all i ask for in a grinder .,1,0.225,Á®±Ë? (Praise),,,,,
"snug fit ,  with all the buttons and holes perfectly aligned .",1,0.7,Á®±Ë? (Praise),,,,,
"also ,  it creates more static than the one i m used to .",0,0.5,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,0.25,Á®±Ë? (Praise),,,,,
"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,0.333333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"a triumph , relentless and beautiful in its downbeat darkness .",1,0.85,Á®±Ë? (Praise),,,,,
"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,0.65,Á®±Ë? (Praise),,,,,
perfect size for preparing dishes . it really works well .,1,0.6,Á®±Ë? (Praise),,,,,
it keeps the air clean and nice fresh smelling .,1,0.422222222,Á®±Ë? (Praise),,,,,
i do n't have an i am sam clue .,0,0,‰∏≠Á? (Neutral),,,,,
but the back side looks nice as well .,1,0.3,Á®±Ë? (Praise),,,,,
"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,-0.29375,?πË? (Criticism),,,,,
think of it as a sort of comfort food for the mind .,1,0,‰∏≠Á? (Neutral),,,,,
this keeps the cord out of the way and above the board .,1,0,‰∏≠Á? (Neutral),,,,,
"what will , most likely , turn out to be the most repellent movie of 2002 .",0,0.025,‰∏≠Á? (Neutral),,,,,
item arrived in num_num days in bulk packaging exactly like j .,1,0.25,Á®±Ë? (Praise),,,,,
a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,0.1,‰∏≠Á? (Neutral),,,,,
"and ,  there were many things we liked about this game .",0,0.233333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,0.083333333,‰∏≠Á? (Neutral),,,,,
thank heaven the operation is intuitive because there are no instructions .,0,0,‰∏≠Á? (Neutral),,,,,
i miss my days of cracker eating before becoming gluten free .,0,0.425,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"so ,  to me this is pretty darn  instant  .",1,0.125,Á®±Ë? (Praise),,,,,
a well-made and often lovely depiction of the mysteries of friendship .,1,0.5,Á®±Ë? (Praise),,,,,
"occasionally melodramatic , it 's also extremely effective .",1,0.3,Á®±Ë? (Praise),,,,,
"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1,0.199074074,Á®±Ë? (Praise),,,,,
"like i said ,  it works ,  these are ok .",1,0.5,Á®±Ë? (Praise),,,,,
this is junk food cinema at its greasiest .,0,0,‰∏≠Á? (Neutral),,,,,
"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,0,‰∏≠Á? (Neutral),,,,,
"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,0.0375,‰∏≠Á? (Neutral),,,,,
"without september 11 , collateral damage would have been just another bad movie .",0,-0.7,?πË? (Criticism),,,,,
"my little girl wanted this for her birthday ,  so we got it .",0,-0.1875,?πË? (Criticism),,,,,
i wouldn t trade them but this is a great knife for the price .,1,0.8,Á®±Ë? (Praise),,,,,
"static , repetitive , muddy and blurry , hey arnold !",0,0.09375,‰∏≠Á? (Neutral),,,,,
a predictable and stereotypical little b-movie .,0,-0.295833333,?πË? (Criticism),,,,,
"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .",1,0.266666667,Á®±Ë? (Praise),,,,,
flaccid drama and exasperatingly slow journey .,0,-0.3,?πË? (Criticism),,,,,
the movie will reach far beyond its core demographic .,1,0.1,‰∏≠Á? (Neutral),,,,,
one to another company and two to amazon . com .,1,0,‰∏≠Á? (Neutral),,,,,
