TEXT,LABEL,Polarity_Score,Category
i was looking forward to this game for a couple of num_extend,0,-0.4,negative
arguably the year 's silliest and most incoherent movie .,0,0.15,negative
"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,-0.4667,negative
it 's neither as romantic nor as thrilling as it should be .,0,0.125,negative
i won t give this to the new puppy i m getting .,0,0.1364,negative
"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,-0.2938,negative
"without september 11 , collateral damage would have been just another bad movie .",0,-0.7,negative
"my little girl wanted this for her birthday ,  so we got it .",0,-0.1875,negative
a predictable and stereotypical little b-movie .,0,-0.2958,negative
flaccid drama and exasperatingly slow journey .,0,-0.3,negative
"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,-0.15,negative
high crimes miscasts nearly every leading character .,0,0.13,negative
"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,0.1333,negative
"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,-0.1028,negative
"it s very black ,  and it does add volume .",0,-0.2167,negative
"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,0.1111,negative
i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,0.1667,negative
"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,0.1083,negative
"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,-0.1667,negative
this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,-0.1067,negative
i ve used these a few times and broke them very easily .,0,0.1817,negative
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,-0.4,negative
these run quite small even though they are stretchy .,0,-0.25,negative
"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,-0.1625,negative
while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,-0.1042,negative
unfortunately this product did not do much for me .,0,-0.15,negative
not a good product for conditioning even though it says it has shea butter .,0,-0.35,negative
well-shot but badly written tale set in a future ravaged by dragons .,0,-0.35,negative
if your bike had a kickstand on the plate it won t lock down .,0,-0.1556,negative
i had much better luck with the other three pairs mentioned .,0,0.1875,negative
maybe i found the proceedings a little bit too conventional .,0,-0.1652,negative
... the sum of the parts equals largely a confused mediocrity .,0,-0.3,negative
almost everything else is wan .,0,-0.2,negative
"even as lame horror flicks go , this is lame .",0,-0.5,negative
shocking only in that it reveals the filmmaker 's bottomless pit of self-absorption .,0,-0.5,negative
... too gory to be a comedy and too silly to be an effective horror film .,0,-0.1333,negative
"a sour , nasty offering .",0,-0.575,negative
notorious c.h.o. has oodles of vulgar highlights .,0,-0.7,negative
a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans .,0,-0.4,negative
it is so small . get a racket ball . pass this one by .,0,-0.25,negative
the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .,0,-0.15,negative
speedloader is very hard to use especially with an extended magazine .,0,-0.1896,negative
unfortunately i m not sure what all the five star reviews are for .,0,-0.25,negative
ridiculous !  i had trouble getting it on with zero bubbles .,0,-0.3083,negative
little more than a frothy vanity project .,0,0.1562,negative
"at times , however , dogtown and z-boys lapses into an insider 's lingo and mindset that the uninitiated may find hard to follow , or care about .",0,-0.2917,negative
a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .,0,-0.1,negative
i wore this product today for a few hours today .,0,-0.2,negative
the balm is crap more like a vaseline stick .,0,-0.15,negative
the movie quickly drags on becoming boring and predictable .,0,-0.1042,negative
"too silly to be frightening , too stolid to be funny , it projects the same lazy affability as its nominal star , david arquette .",0,-0.2,negative
it makes a farce out of a good num_num num_extend,0,0.15,negative
"not a movie but a live-action agitprop cartoon so shameless and coarse , it 's almost funny .",0,0.125,negative
the sum of all fears is almost impossible to follow -- and there 's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .,0,-0.3333,negative
i say this as a guy with fairly thin wrists too .,0,-0.4,negative
and still the focus was extremely soft or just plain terrible .,0,-0.3714,negative
it is worse then no lube because it gets soooo sticky .,0,-0.4,negative
"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them .",0,-0.1597,negative
a painfully leaden film destined for pre-dawn cable television slots .,0,-0.2,negative
i was bored after the first num_num minutes .,0,-0.125,negative
-lrb- u -rrb- nrelentingly stupid .,0,-0.8,negative
it is a poor performer when it comes to odor retention and clumping .,0,-0.4,negative
"a depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : george w. bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .",0,-0.3375,negative
"perhaps it won t rust ,  but upclose it looks a little cheesey .",0,-0.1875,negative
"one minute , you think you 're watching a serious actioner ; the next , it 's as though clips from the pink panther strikes again and\/or sailor moon have been spliced in .",0,-0.1444,negative
a modest and messy metaphysical thriller offering more questions than answers .,0,0.1333,negative
"the film takes too long getting to the good stuff , then takes too long figuring out what to do next .",0,0.15,negative
"matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy .",0,-0.3667,negative
"some of seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot .",0,-0.1333,negative
extremely confusing .,0,-0.3,negative
"the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .",0,-0.2,negative
"say this for the soundtrack , it drowns out the lousy dialogue .",0,-0.5,negative
even legends like alfred hitchcock and john huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker like zhang yimou behind the camera for a yarn that 's ultimately rather inconsequential .,0,-0.125,negative
"unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",0,0.1762,negative
im thinking num_num gem stones in at least a num_num inch wheel .,0,-0.3,negative
shame on what otherwise has been a reliable company with several other respectful products .,0,0.125,negative
could the whole plan here have been to produce something that makes fatal attraction look like a classic by comparison ?,0,0.1833,negative
we re too stupid to put together normal sounding sentences .,0,-0.325,negative
the story and characters are nowhere near gripping enough .,0,0.2,negative
"this film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .",0,0.1066,negative
i will never again purchase another game where this is a requirement .,0,-0.4,negative
b. -rrb- that sure is pathetic !,0,-0.25,negative
"i hated the color that was sent to me ,  pale chalky beige .",0,-0.555,negative
the sequel has turned completely and irrevocably bizarre to the point of utter nonsense .,0,0.1667,negative
boring we did n't .,0,-1.0,negative
a very average science fiction film .,0,-0.195,negative
"even by dumb action-movie standards , ballistic : ecks vs. sever is a dumb action movie .",0,-0.2167,negative
this machine is no match for the new consoles .,0,0.1364,negative
if high crimes were any more generic it would have a universal product code instead of a title .,0,0.165,negative
"a turgid little history lesson , humourless and dull .",0,-0.2396,negative
"do not buy this product ! the photos are horribly ,  horribly misleading .",0,-1.0,negative
it didn t work for me hopefully other people will have better luck .,0,0.1875,negative
"no , it 's not nearly as good as any of its influences .",0,-0.35,negative
this is a worthless item that makes no sense at all .,0,-0.8,negative
this particular variety is rather lacking in the flavor department .,0,0.1667,negative
another num_num calories from the other num_num grams of carbohydrates .,0,-0.125,negative
a film so tedious that it is impossible to care whether that boast is true or not .,0,-0.2722,negative
"shadyac shoots his film like an m. night shyamalan movie , and he frequently maintains the same snail 's pace ; he just forgot to add any genuine tension .",0,0.1667,negative
"flashy , pretentious and as impenetrable as morvern 's thick , working-class scottish accent .",0,-0.3667,negative
i woke up with basically an oil slick on my face .,0,-0.25,negative
now i have a game that i don t ever want to play .,0,-0.4,negative
"a little at first ,  more with each successive try .",0,0.1875,negative
"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign .",0,0.1,negative
"as i get hit ,  my health endurance goes down .",0,-0.1556,negative
"sadly , hewitt 's forte is leaning forward while wearing low-cut gowns , not making snappy comebacks .",0,-0.5,negative
this is the worst game i have come across in a long time .,0,-0.4833,negative
"when it 's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",0,-0.1833,negative
"it might work for all purpose flour ,  which has less gluten .",0,-0.1667,negative
soe decided to push it to live a whole num_num weeks sooner than that .,0,0.1682,negative
company will exchange though but it wastes your time doing this .,0,-0.2,negative
"offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly tormented .",0,-0.2196,negative
neither funny nor suspenseful nor particularly well-drawn .,0,0.1389,negative
the graphics are most definitely improved over the previous version .,0,0.1111,negative
too small and not the quality i expected .,0,-0.175,negative
there 's something fundamental missing from this story : something or someone to care about .,0,-0.2,negative
it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,0,-0.2229,negative
try it once and you won t think it s stupid .,0,-0.8,negative
"as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them .",0,-0.2117,negative
in num_num thq came out with this wrestling game .,0,-0.4,negative
the movie succumbs to being nothing more than a formulaic chase in the dark .,0,0.1167,negative
note that i got mine from an amazon store called  small appliance  .,0,-0.25,negative
it 's just a silly black genre spoof .,0,-0.2556,negative
it not educational or exciting and it s annoying .,0,-0.2083,negative
now it 's just tired .,0,-0.4,negative
"a boring , formulaic mix of serial killers and stalk 'n' slash .",0,-0.5,negative
it adds size o an already pretty big system .,0,0.125,negative
but he loses his focus when he concentrates on any single person .,0,-0.1857,negative
it hasn t done anything for his thin coat though .,0,-0.4,negative
these people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .,0,-0.1667,negative
borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,0,0.16,negative
hasn t had to be rebooted yet due to connection issues .,0,-0.125,negative
"it opens cans ok ,  but no better than the old fashioned openers .",0,0.1167,negative
"if you think that jennifer lopez has shown poor judgment in planning to marry ben affleck , wait till you see maid in manhattan .",0,-0.4,negative
"it 's all pretty cynical and condescending , too .",0,-0.175,negative
"based on a david leavitt story , the film shares that writer 's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness .",0,-0.2083,negative
"half of it is composed of snappy patter and pseudo-sophisticated cultural observations , while the remainder ... would be more at home on a daytime television serial .",0,0.1444,negative
"i would have preferred a transfer down the hall to mr. holland 's class for the music , or to robin williams 's lecture so i could listen to a teacher with humor , passion , and verve .",0,-0.1556,negative
one major complaint is the micromanagment of collecting  shards  .,0,-0.1187,negative
"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel .",0,-0.4389,negative
a compendium of solondz 's own worst instincts in under 90 minutes .,0,-0.2,negative
it was all potatoes and had very little clam flavor .,0,-0.2438,negative
"i will always have slight pain ,  no matter what .",0,-0.1667,negative
just a bloody mess .,0,-0.4875,negative
"worse ,  the controls are so confusing that it gives me a headache .",0,-0.35,negative
rainy days and movies about the disintegration of families always get me down .,0,-0.1556,negative
one thing is the amazingly poor unit a . i .,0,-0.4,negative
barely goes beyond comic book status .,0,0.15,negative
extremely dumb .,0,-0.375,negative
the case fit okay but not attractive at all .,0,0.1667,negative
"expect to be reminded of other , better films , especially seven , which director william malone slavishly copies .",0,0.125,negative
"a trashy , exploitative , thoroughly unpleasant experience .",0,-0.475,negative
i hate this movie,0,-0.8,negative
maybe it just needs broken in and some fine fitting .,0,0.1722,negative
"it smacks of purely commercial motivation , with no great love for the original .",0,0.1187,negative
the title 's lameness should clue you in on how bad the movie is .,0,-0.7,negative
the quality of materials and workmanship is noticeably less .,0,-0.1667,negative
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,0,-0.175,negative
"the film 's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen .",0,-0.1333,negative
"suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video .",0,-0.2125,negative
"there are weird resonances between actor and role here , and they 're not exactly flattering .",0,-0.3125,negative
i bought them and find them pretty annoying .,0,-0.275,negative
"when the plot kicks in , the film loses credibility .",0,-0.3,negative
what could and should have been biting and droll is instead a tepid waste of time and talent .,0,-0.2,negative
"as -lrb- the characters -rrb- get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound .",0,0.1167,negative
am very disappointed that i still can t wear my shoes !  .,0,-1.0,negative
"technically , the film is about as interesting as an insurance commercial .",0,0.1667,negative
"by the end , i was looking for something hard with which to bludgeon myself unconscious .",0,-0.2917,negative
"at nearly three hours , the whole of safe conduct is less than the sum of its parts .",0,0.1583,negative
taking it out of the box i found the design to be awkward .,0,-0.6,negative
i guess it fails in the truth department on its advertising .,0,-0.5,negative
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,0,-0.2852,negative
disappointed as i expected to received candy that would last a long time .,0,-0.225,negative
"the result is solemn and horrifying , yet strangely detached .",0,-0.475,negative
"i like neutrogena products as a rule ,  so this was a disappointment .",0,-0.6,negative
it could be that i live in an apartment with hills and trees around .,0,0.1364,negative
"it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .",0,-0.1,negative
surely not worth what was paid for it by half .,0,-0.1583,negative
what was subtle and mystifying in the novella is now broad and farcical .,0,-0.2236,negative
"when a film is created solely because it 's a marketable product , soulless and ugly movies like this are the result .",0,-0.7,negative
so what it comes down to is that u get what u paid for .,0,-0.1556,negative
"first ,  without the extension they are very short .",0,0.125,negative
my dog has started to become anxious at bedtime .,0,-0.25,negative
i mean she felt apart she broked down in a hundred pieces .,0,-0.234,negative
"flavor :  it has some tangy notes ,  and overall not bad .",0,0.175,negative
camera fell of it after a few uses .,0,-0.2,negative
this time kaufman 's imagination has failed him .,0,-0.5,negative
this is called cheating !  i expected canister with fuel at least .,0,-0.2,negative
"this pep-talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life .",0,-0.1875,negative
"it virtually defines a comedy that 's strongly mediocre , with funny bits surfacing every once in a while .",0,-0.125,negative
"it 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school .",0,-0.1889,negative
"after that , it just gets stupid and maudlin .",0,-0.8,negative
"but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .",0,-0.5833,negative
"however ,  i feel civilization iv is most definitely not an improvement overall .",0,0.1667,negative
i agree with the others that this was tough to open .,0,-0.1944,negative
"and after all that ,  the base broke too .",0,-0.8,negative
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .,0,-0.2333,negative
"this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through .",0,-0.3833,negative
since that time i have replaced the game .,0,-0.4,negative
rates an ` e ' for effort -- and a ` b ' for boring .,0,-1.0,negative
"multiplayer is just as bad ,  though thankfully not worse .",0,-0.25,negative
"generally if a toy makes noise ,  i don t mind so much .",0,0.125,negative
don t waste your time or money on these jeans .,0,-0.2,negative
"after seeing swept away , i feel sorry for madonna .",0,-0.5,negative
mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,-0.1963,negative
it 's just incredibly dull .,0,-0.2917,negative
another  energy  product that simply wastes our money .,0,-0.2,negative
"afraid to pitch into farce , yet only half-hearted in its spy mechanics , all the queen 's men is finally just one long drag .",0,-0.1917,negative
that is not to say that these treats are bad by any means .,0,-0.7,negative
i thought this was the hard plastic screen cover and it isn t .,0,-0.2917,negative
"... an unimaginative , nasty , glibly cynical piece of work .",0,-0.8,negative
"considering the harsh locations and demanding stunts , this must have been a difficult shoot , but the movie proves rough going for the audience as well .",0,-0.125,negative
i ve come to the conclusion that i ve wasted my money .,0,-0.2,negative
a bit of an unwieldy mess .,0,-0.175,negative
i hate myself for falling for the james bond license and wasting $,0,-0.8,negative
"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",0,-0.1,negative
"in this case ,  it s a big disappointment for num_extend",0,-0.3,negative
"all that -lrb- powerpuff girls -rrb- charm is present in the movie , but it 's spread too thin .",0,-0.2,negative
