row_id,text,true_label,pred_label,prob_neg,prob_pos,confidence,error_type
236,"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",1,0,0.9769,0.0231,0.9769,FN (漏報正類)
1355,"roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .",1,0,0.9733,0.0267,0.9733,FN (漏報正類)
1811,has a shambling charm ... a cheerfully inconsequential diversion .,1,0,0.9724,0.0276,0.9724,FN (漏報正類)
1632,"you 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .",1,0,0.9721,0.0279,0.9721,FN (漏報正類)
1578,these definitely open up your nasal passages and functionally work as advertised .,0,1,0.0308,0.9692,0.9692,FP (誤報正類)
571,what might have been a predictably heartwarming tale is suffused with complexity .,1,0,0.9684,0.0316,0.9684,FN (漏報正類)
271,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,1,0.0324,0.9676,0.9676,FP (誤報正類)
431,the complication is the heft of the phone .,1,0,0.9657,0.0343,0.9657,FN (漏報正類)
1980,the feel of the wheel is nice and i like the side scrolling feature .,0,1,0.0365,0.9635,0.9635,FP (誤報正類)
1711,this cord seemed like a deal and got good reviews .,0,1,0.0366,0.9634,0.9634,FP (誤報正類)
1976,much monkeyfun for all .,1,0,0.9621,0.0379,0.9621,FN (漏報正類)
1530,"a strong first quarter , slightly less so second quarter , and average second half .",0,1,0.038,0.962,0.962,FP (誤報正類)
1759,"but buying into sham truths and routine `` indie '' filmmaking , freundlich has made just another safe movie .",0,1,0.0398,0.9602,0.9602,FP (誤報正類)
30,i have never had a pleasant experience with the customer support at cuisnart .,1,0,0.9561,0.0439,0.9561,FN (漏報正類)
1865,the glass cuisinart lids would pour water everywhere in a wet mess .,1,0,0.9506,0.0494,0.9506,FN (漏報正類)
559,"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",0,1,0.0511,0.9489,0.9489,FP (誤報正類)
105,"it s very black ,  and it does add volume .",0,1,0.0515,0.9485,0.9485,FP (誤報正類)
1038,really confused ppl riding with me at first .,1,0,0.9452,0.0548,0.9452,FN (漏報正類)
1565,"you might not want to hang out with samantha , but you 'll probably see a bit of yourself in her unfinished story .",1,0,0.9437,0.0563,0.9437,FN (漏報正類)
130,i ve used these a few times and broke them very easily .,0,1,0.0569,0.9431,0.9431,FP (誤報正類)
301,"hand graters can be a mess to clean ,  especially under the handle .",1,0,0.9399,0.0601,0.9399,FN (漏報正類)
1882,the pair made in mexico is much better .,0,1,0.0695,0.9305,0.9305,FP (誤報正類)
1860,i don t think pie weights are for me .,1,0,0.9281,0.0719,0.9281,FN (漏報正類)
776,bought this for use to hold my droid incredible .,0,1,0.0752,0.9248,0.9248,FP (誤報正類)
808,"call me a wimp , but i cried , not once , but three times in this animated sweet film .",1,0,0.9245,0.0755,0.9245,FN (漏報正類)
517,the only thing is it stretches easily so be careful with that .,1,0,0.9188,0.0812,0.9188,FN (漏報正類)
1742,"visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",1,0,0.9161,0.0839,0.9161,FN (漏報正類)
248,i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,0,0.9114,0.0886,0.9114,FN (漏報正類)
1583,only issue is the blue light it becomes a annoying after a while .,1,0,0.909,0.091,0.909,FN (漏報正類)
603,coming from an asian background it s not something we normally cook with .,1,0,0.9082,0.0918,0.9082,FN (漏報正類)
1639,the knife got a tad rusty after running it through a cycle .,1,0,0.9023,0.0977,0.9023,FN (漏報正類)
1127,i would have given this five stars except for the only complaint i had .,1,0,0.9004,0.0996,0.9004,FN (漏報正類)
735,"a teasing drama whose relentless good-deed\/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",1,0,0.9002,0.0998,0.9002,FN (漏報正類)
1304,"this pep-talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life .",0,1,0.1015,0.8985,0.8985,FP (誤報正類)
862,"it 's a decent glimpse into a time period , and an outcast , that is no longer accessible , but it does n't necessarily shed more light on its subject than the popular predecessor .",1,0,0.8961,0.1039,0.8961,FN (漏報正類)
195,i loved the food for my cats as you can read below .,0,1,0.105,0.895,0.895,FP (誤報正類)
1970,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame .",1,0,0.8889,0.1111,0.8889,FN (漏報正類)
531,"unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",0,1,0.1128,0.8872,0.8872,FP (誤報正類)
1243,"if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the -lrb- unfortunately r-rated -rrb- paid .",1,0,0.8766,0.1234,0.8766,FN (漏報正類)
436,a process that takes a couple of minutes .,0,1,0.1304,0.8696,0.8696,FP (誤報正類)
807,i never thought about making cheese until ree drummond made some on her show .,1,0,0.8619,0.1381,0.8619,FN (漏報正類)
1506,he simply presents his point of view that ayurveda works .,1,0,0.8578,0.1422,0.8578,FN (漏報正類)
250,of course the german s call this sort of idea good engineering .,1,0,0.8552,0.1448,0.8552,FN (漏報正類)
363,moderately involving despite bargain-basement photography and hackneyed romance .,0,1,0.1484,0.8516,0.8516,FP (誤報正類)
1741,recently threw in the trash as the line wore out .,1,0,0.8481,0.1519,0.8481,FN (漏報正類)
1786,"otterboxes are a little bulky ,  but nothing protects better for the price .",1,0,0.8446,0.1554,0.8446,FN (漏報正類)
681,i would recommend this case to my friends .,1,0,0.8443,0.1557,0.8443,FN (漏報正類)
1228,white in the refrigerator a couple of days longer .,1,0,0.8355,0.1645,0.8355,FN (漏報正類)
1654,it s like i got an extension cord and male outlets on both ends .,0,1,0.1709,0.8291,0.8291,FP (誤報正類)
304,i also have to hold the headphone cord to keep it from flapping around .,0,1,0.1726,0.8274,0.8274,FP (誤報正類)
276,they have a medium pile lining that has more of a stiffer polyester feel .,0,1,0.1844,0.8156,0.8156,FP (誤報正類)
1425,don t waste your time or money on these jeans .,0,1,0.1905,0.8095,0.8095,FP (誤報正類)
878,it adds size o an already pretty big system .,0,1,0.1926,0.8074,0.8074,FP (誤報正類)
896,time changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets,1,0,0.7987,0.2013,0.7987,FN (漏報正類)
1189,i have purchased fairly cheap holders from motorola and they lasted a while .,0,1,0.2027,0.7973,0.7973,FP (誤報正類)
1604,then i put the cream on my feet especially around my toes and heels .,0,1,0.2043,0.7957,0.7957,FP (誤報正類)
227,i kept it though i do not use it .,0,1,0.2089,0.7911,0.7911,FP (誤報正類)
123,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,1,0.233,0.767,0.767,FP (誤報正類)
631,you ve probably seen them use it on iron chef .,1,0,0.7429,0.2571,0.7429,FN (漏報正類)
1315,"the movie is well shot and very tragic , and one to ponder after the credits roll .",1,0,0.7391,0.2609,0.7391,FN (漏報正類)
1152,i also prefered the blade weight and thickness of the wustof .,1,0,0.7379,0.2621,0.7379,FN (漏報正類)
150,there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,1,0.2684,0.7316,0.7316,FP (誤報正類)
1015,instead i would recommend cetaphil gentle cleanser and you will be fine .,0,1,0.2727,0.7273,0.7273,FP (誤報正類)
290,games like gem journey are easier to play with a stylus like this .,1,0,0.7217,0.2783,0.7217,FN (漏報正類)
1636,when purchased i discovered there was a newer product update :  model num_extend,1,0,0.7173,0.2827,0.7173,FN (漏報正類)
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,0,0.7167,0.2833,0.7167,FN (漏報正類)
1846,i put my kitchen appliances through the ringer .,1,0,0.7133,0.2867,0.7133,FN (漏報正類)
400,i bought this toy for my boys a few years back .,0,1,0.3265,0.6735,0.6735,FP (誤報正類)
1913,old grandson loves all things that have to do with construction .,0,1,0.3366,0.6634,0.6634,FP (誤報正類)
1631,its good that its made in canada rather than china .,0,1,0.3567,0.6433,0.6433,FP (誤報正類)
1268,it was just one and that s not a big deal .,1,0,0.6327,0.3673,0.6327,FN (漏報正類)
501,worked best on older new england house with narrow staircase .,0,1,0.3684,0.6316,0.6316,FP (誤報正類)
799,please reply with the filter part number and your location .,0,1,0.3926,0.6074,0.6074,FP (誤報正類)
1613,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this .",0,1,0.4081,0.5919,0.5919,FP (誤報正類)
291,"i ll stick to my xbox for now ,  thanks .",0,1,0.4297,0.5703,0.5703,FP (誤報正類)
572,i would definitely recommend this for a cute case .,1,0,0.5607,0.4393,0.5607,FN (漏報正類)
219,just do your homework and you will end up pretty satisfied .,1,0,0.5399,0.4601,0.5399,FN (漏報正類)
1588,"to ataris credit ,  this game was a bit fun .",0,1,0.4954,0.5046,0.5046,FP (誤報正類)
202,"num_extend has much better graphics ,  better sound ,  slightly better control .",0,1,0.496,0.504,0.504,FP (誤報正類)
