row_id,text,true_label,pred_label,prob_neg,prob_pos,confidence,error_type,irony_score,flipped_by_irony
64,a predictable and stereotypical little b-movie .,0,1,0.9856,0.0144,0.9856,FP (誤報正類),0.8504,True
777,"this film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .",0,1,0.9828,0.0172,0.9828,FP (誤報正類),0.8421,True
12,a sermonizing and lifeless paean to teenage dullards .,0,1,0.9798,0.0202,0.9798,FP (誤報正類),0.8491,True
454,big fat liar is just futile silliness looking to tap into the kiddie sensibilities .,0,1,0.9797,0.0203,0.9797,FP (誤報正類),0.877,True
1264,"makes s&m seem very romantic , and maggie gyllenhaal is a delight .",1,0,0.0211,0.9789,0.9789,FN (漏報正類),0.8236,True
220,this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,1,0,0.0212,0.9788,0.9788,FN (漏報正類),0.8215,True
76,the movie exists for its soccer action and its fine acting .,1,0,0.0218,0.9782,0.9782,FN (漏報正類),0.8614,True
571,what might have been a predictably heartwarming tale is suffused with complexity .,1,0,0.977,0.023,0.977,FN (漏報正類),0.4559,False
1089,"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 .",1,0,0.0233,0.9767,0.9767,FN (漏報正類),0.8462,True
1987,plays less like a coming-of-age romance than an infomercial .,0,1,0.9765,0.0235,0.9765,FP (誤報正類),0.8221,True
1355,"roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .",1,0,0.9747,0.0253,0.9747,FN (漏報正類),0.436,False
1429,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,1,0.9746,0.0254,0.9746,FP (誤報正類),0.8149,True
1193,this cover does exactly what it is designed to do .,1,0,0.0262,0.9738,0.9738,FN (漏報正類),0.8792,True
402,"spyro games always used to be fun ,  but that tradition ends here . but that tradition ends here .",0,1,0.9737,0.0263,0.9737,FP (誤報正類),0.9105,True
236,"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",1,0,0.9733,0.0267,0.9733,FN (漏報正類),0.7884,False
1311,good movie .,1,0,0.0273,0.9727,0.9727,FN (漏報正類),0.839,True
1632,"you 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .",1,0,0.9725,0.0275,0.9725,FN (漏報正類),0.2654,False
249,this turner has worked well for the last few years .,1,0,0.0276,0.9724,0.9724,FN (漏報正類),0.9312,True
558,also these attachment pieces are very easy to clean .,1,0,0.0285,0.9715,0.9715,FN (漏報正類),0.8737,True
1345,we love that it can go straight from the stove top to the oven .,1,0,0.0287,0.9713,0.9713,FN (漏報正類),0.8444,True
94,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,0,0.0293,0.9707,0.9707,FN (漏報正類),0.9266,True
1980,the feel of the wheel is nice and i like the side scrolling feature .,0,1,0.0313,0.9687,0.9687,FP (誤報正類),0.3666,False
1886,the perfect film for those who like sick comedies that can be snide .,1,0,0.0329,0.9671,0.9671,FN (漏報正類),0.9264,True
1786,"otterboxes are a little bulky ,  but nothing protects better for the price . but nothing protects better for the price .",1,0,0.967,0.033,0.967,FN (漏報正類),0.5394,False
1530,"a strong first quarter , slightly less so second quarter , and average second half .",0,1,0.0334,0.9666,0.9666,FP (誤報正類),0.122,False
431,the complication is the heft of the phone .,1,0,0.9657,0.0343,0.9657,FN (漏報正類),0.2117,False
57,this is junk food cinema at its greasiest .,0,1,0.9631,0.0369,0.9631,FP (誤報正類),0.8745,True
105,"it s very black ,  and it does add volume .",0,1,0.0373,0.9627,0.9627,FP (誤報正類),0.7548,False
590,blade release buttons are simple to use which makes cleaning easy .,1,0,0.0405,0.9595,0.9595,FN (漏報正類),0.9466,True
271,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn but his parisian rebirth is stillborn",0,1,0.0408,0.9592,0.9592,FP (誤報正類),0.0929,False
1223,making seperation and cross contamination containment a very easy .,1,0,0.0408,0.9592,0.9592,FN (漏報正類),0.9462,True
1979,saves on cleaning and the use of aluminum foil .,1,0,0.0438,0.9562,0.9562,FN (漏報正類),0.8891,True
