row_id,TEXT,LABEL,SPLIT_TEXT,NUM_SPLITS
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,['director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .'],1
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,"[""a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .""]",1
2,"the price was good ,  and came quickly though my prime membership .",1,"['the price was good ,', 'and came quickly though my prime membership .']",2
3,i was looking forward to this game for a couple of num_extend,0,['i was looking forward to this game for a couple of num_extend'],1
4,arguably the year 's silliest and most incoherent movie .,0,"[""arguably the year 's silliest and most incoherent movie .""]",1
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,"[""emerges as something rare , an issue movie that 's so honest"", ""and keenly observed that it does n't feel like one .""]",2
6,anyway i recommend this one for its price and quality .,1,['anyway i recommend this one for its price and quality .'],1
7,it seems to be of very good quality in its build .,1,['it seems to be of very good quality in its build .'],1
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,['... there are enough moments of heartbreaking honesty to keep one glued to the screen .'],1
9,they get into the corners as described and are flexible yet firm .,1,"['they get into the corners as described and are flexible', 'yet firm .']",2
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,"['it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .']",1
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,"['liman , of swingers', 'and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .']",2
12,a sermonizing and lifeless paean to teenage dullards .,0,['a sermonizing and lifeless paean to teenage dullards .'],1
13,the issue of faith is not explored very deeply,0,['the issue of faith is not explored very deeply'],1
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,['armada lacks the epic scope of similar games like homeworld or even starcraft .'],1
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,"[""the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .""]",1
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,"['bad company leaves a bad taste , not only because of its bad-luck timing ,', 'but also the staleness of its script .']",2
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,"['scarlet diva has a voyeuristic tug ,', ""but all in all it 's a lot less sensational than it wants to be .""]",2
18,with this i say i work giving support to the u . s .,0,['with this i say i work giving support to the u . s .'],1
19,this meter is technology from a decade ago .,0,['this meter is technology from a decade ago .'],1
20,"they were huge ,  yet the same size in the leather is tight .",0,"['they were huge ,', 'yet the same size in the leather is tight .']",2
21,it never fails to engage us .,1,['it never fails to engage us .'],1
22,it worked great for the first couple of weeks then it just stopped completely .,0,['it worked great for the first couple of weeks then it just stopped completely .'],1
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,"['as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .']",1
24,either than or the developers decided to do their own .,0,['either than or the developers decided to do their own .'],1
25,it 's neither as romantic nor as thrilling as it should be .,0,"[""it 's neither as romantic nor as thrilling as it should be .""]",1
26,will update this review should it meet a similar fate to my previous wheel .,1,['will update this review should it meet a similar fate to my previous wheel .'],1
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,['i cannot recommend this product for anyone trying to fix a leaky transmission .'],1
28,but this time there 's some mold on the gold .,0,"[""but this time there 's some mold on the gold .""]",1
29,i won t give this to the new puppy i m getting .,0,['i won t give this to the new puppy i m getting .'],1
30,i have never had a pleasant experience with the customer support at cuisnart .,1,['i have never had a pleasant experience with the customer support at cuisnart .'],1
31,pretty much all i ask for in a grinder .,1,['pretty much all i ask for in a grinder .'],1
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1,"['snug fit ,  with all the buttons and holes perfectly aligned .']",1
33,"also ,  it creates more static than the one i m used to .",0,"['also ,  it creates more static than the one i m used to .']",1
