TEXT,LABEL,Category
they get into the corners as described and are flexible yet firm .,1,mixed
"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,mixed
it worked great for the first couple of weeks then it just stopped completely .,0,mixed
either than or the developers decided to do their own .,0,mixed
"also ,  it creates more static than the one i m used to .",0,mixed
"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,mixed
"and ,  there were many things we liked about this game .",0,mixed
i miss my days of cracker eating before becoming gluten free .,0,mixed
so not that great for leaving on at night .,0,mixed
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,mixed
i don t see what others have liked about this .,0,mixed
"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,mixed
so far i am not at all happy .,0,mixed
it is best to invest in a good set of makeup brushes .,0,mixed
there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,mixed
$ is too much to pay for a $ cable .,0,mixed
but it pays a price for its intricate intellectual gamesmanship .,0,mixed
like how many times you face the nazgul and how easily they are beaten .,0,mixed
beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,mixed
spent more time fiddling with this than i did looking at the road .,0,mixed
i loved the food for my cats as you can read below .,0,mixed
"num_extend has much better graphics ,  better sound ,  slightly better control .",0,mixed
there is no menu selection for find free books .,0,mixed
and i wanted them all to be easy to access .,0,mixed
i did not have what i felt were unrealistic expectations of this device .,1,mixed
"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",0,mixed
"unfortunately ,  not my blackberry nor my cell phone .",0,mixed
i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,mixed
"whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",1,mixed
"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",0,mixed
"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,mixed
they have a medium pile lining that has more of a stiffer polyester feel .,0,mixed
"though everything might be literate and smart , it never took off and always seemed static .",0,mixed
it 's also heavy-handed and devotes too much time to bigoted views .,0,mixed
plus its from amazon and amazon wouldn t put their name on crap .,1,mixed
"i ll stick to my xbox for now ,  thanks .",0,mixed
"it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .",0,mixed
"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .",0,mixed
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",0,mixed
"first good , then bothersome .",0,mixed
my wife despises window fans usually and she loves this thing too .,1,mixed
"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",0,mixed
most operations there is a noticable delay lag of num_extend to num_num seconds .,0,mixed
i was surprised as the box seemed to be in good shape .,0,mixed
that does not hold true for this product .,0,mixed
"an impossible romance , but we root for the patronized iranian lad .",1,mixed
"i did n't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",0,mixed
i ve not been terribly impressed with this box .,0,mixed
"spyro games always used to be fun ,  but that tradition ends here .",0,mixed
this case is cute however the is the only good thing about it .,0,mixed
you 'll have more fun setting fire to yourself in the parking lot .,0,mixed
"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0,mixed
also the headphones do not feel comfortable on your head .,0,mixed
you 'll be more entertained getting hit by a bus .,0,mixed
a waste of good performances .,0,mixed
"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do .",0,mixed
gave it to someone named happy on her birthday .,0,mixed
begins as a promising meditation on one of america 's most durable obsessions but winds up as a slender cinematic stunt .,0,mixed
"i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s .",0,mixed
obviously we all have our own preferences for taste .,0,mixed
the aluminum ones get stained and ugly after a few uses .,1,mixed
worked best on older new england house with narrow staircase .,0,mixed
good thing filters for num_num gallon tanks are cheap .,0,mixed
"this is a fantastic idea ,  however it has some flaws .",0,mixed
this is n't a `` friday '' worth waiting for .,0,mixed
"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",0,mixed
some reviewers complained of grounds in the coffee .,1,mixed
i love cheetos and any artificially or naturally enhanced cheese snack .,0,mixed
what might have been a predictably heartwarming tale is suffused with complexity .,1,mixed
we have used ours at least a couple of hundred times .,1,mixed
the good pieces that i manages to salvage the birds refuse to touch .,0,mixed
also the  free will  option is an absolute joke .,0,mixed
"instead of kicking off the intrigue and suspense and mystery of the whole thing , hart 's war , like the st. louis rams in the super bowl , waits until after halftime to get started .",0,mixed
i d rather be a little less healthy and a little more happy .,0,mixed
i m sure it depends on your age and body type .,0,mixed
"a gentle , compassionate drama about grief and healing .",1,mixed
i was not at all pleased with the performance of this chopper .,0,mixed
that s not what it felt like with the original gel adhesive .,0,mixed
"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",1,mixed
you can go to any chain store and do better .,0,mixed
"got all excited ,  but this taste nohthing like honey at all .",0,mixed
