row_id,text,true_label,pred_label,prob_neg,prob_pos,confidence,error_type
571,what might have been a predictably heartwarming tale is suffused with complexity .,1,0,0.977,0.023,0.977,FN (漏報正類)
1355,"roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .",1,0,0.9747,0.0253,0.9747,FN (漏報正類)
1578,these definitely open up your nasal passages and functionally work as advertised .,0,1,0.0259,0.9741,0.9741,FP (誤報正類)
236,"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",1,0,0.9733,0.0267,0.9733,FN (漏報正類)
1632,"you 'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .",1,0,0.9725,0.0275,0.9725,FN (漏報正類)
1980,the feel of the wheel is nice and i like the side scrolling feature .,0,1,0.0313,0.9687,0.9687,FP (誤報正類)
1976,much monkeyfun for all .,1,0,0.9677,0.0323,0.9677,FN (漏報正類)
1786,"otterboxes are a little bulky ,  but nothing protects better for the price . but nothing protects better for the price .",1,0,0.967,0.033,0.967,FN (漏報正類)
1530,"a strong first quarter , slightly less so second quarter , and average second half .",0,1,0.0334,0.9666,0.9666,FP (誤報正類)
431,the complication is the heft of the phone .,1,0,0.9657,0.0343,0.9657,FN (漏報正類)
105,"it s very black ,  and it does add volume .",0,1,0.0373,0.9627,0.9627,FP (誤報正類)
1811,has a shambling charm ... a cheerfully inconsequential diversion .,1,0,0.9611,0.0389,0.9611,FN (漏報正類)
1711,this cord seemed like a deal and got good reviews .,0,1,0.0403,0.9597,0.9597,FP (誤報正類)
271,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn but his parisian rebirth is stillborn",0,1,0.0408,0.9592,0.9592,FP (誤報正類)
559,"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",0,1,0.045,0.955,0.955,FP (誤報正類)
363,moderately involving despite bargain-basement photography and hackneyed romance . despite bargain-basement photography and hackneyed romance .,0,1,0.0459,0.9541,0.9541,FP (誤報正類)
517,the only thing is it stretches easily so be careful with that .,1,0,0.953,0.047,0.953,FN (漏報正類)
1038,really confused ppl riding with me at first .,1,0,0.9519,0.0481,0.9519,FN (漏報正類)
130,i ve used these a few times and broke them very easily .,0,1,0.0577,0.9423,0.9423,FP (誤報正類)
808,"call me a wimp , but i cried , not once , but three times in this animated sweet film . but three times in this animated sweet film .",1,0,0.9412,0.0588,0.9412,FN (漏報正類)
250,of course the german s call this sort of idea good engineering .,1,0,0.9388,0.0612,0.9388,FN (漏報正類)
776,bought this for use to hold my droid incredible .,0,1,0.0617,0.9383,0.9383,FP (誤報正類)
436,a process that takes a couple of minutes .,0,1,0.0674,0.9326,0.9326,FP (誤報正類)
1565,"you might not want to hang out with samantha , but you 'll probably see a bit of yourself in her unfinished story . but you 'll probably see a bit of yourself in her unfinished story .",1,0,0.9321,0.0679,0.9321,FN (漏報正類)
1882,the pair made in mexico is much better .,0,1,0.0683,0.9317,0.9317,FP (誤報正類)
1860,i don t think pie weights are for me .,1,0,0.9288,0.0712,0.9288,FN (漏報正類)
1243,"if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the -lrb- unfortunately r-rated -rrb- paid .",1,0,0.9164,0.0836,0.9164,FN (漏報正類)
301,"hand graters can be a mess to clean ,  especially under the handle .",1,0,0.9154,0.0846,0.9154,FN (漏報正類)
195,i loved the food for my cats as you can read below .,0,1,0.0847,0.9153,0.9153,FP (誤報正類)
1742,"visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",1,0,0.9119,0.0881,0.9119,FN (漏報正類)
1583,only issue is the blue light it becomes a annoying after a while . while .,1,0,0.9113,0.0887,0.9113,FN (漏報正類)
862,"it 's a decent glimpse into a time period , and an outcast , that is no longer accessible , but it does n't necessarily shed more light on its subject than the popular predecessor . but it does n't necessarily shed more light on its subject than the popular predecessor .",1,0,0.9054,0.0946,0.9054,FN (漏報正類)
1759,"but buying into sham truths and routine `` indie '' filmmaking , freundlich has made just another safe movie . but buying into sham truths and routine `` indie '' filmmaking , freundlich has made just another safe movie .",0,1,0.0979,0.9021,0.9021,FP (誤報正類)
1639,the knife got a tad rusty after running it through a cycle .,1,0,0.9006,0.0994,0.9006,FN (漏報正類)
878,it adds size o an already pretty big system .,0,1,0.0999,0.9001,0.9001,FP (誤報正類)
1127,i would have given this five stars except for the only complaint i had .,1,0,0.8816,0.1184,0.8816,FN (漏報正類)
1865,the glass cuisinart lids would pour water everywhere in a wet mess .,1,0,0.8811,0.1189,0.8811,FN (漏報正類)
30,i have never had a pleasant experience with the customer support at cuisnart .,1,0,0.8805,0.1195,0.8805,FN (漏報正類)
123,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction . still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,1,0.1248,0.8752,0.8752,FP (誤報正類)
1506,he simply presents his point of view that ayurveda works .,1,0,0.8623,0.1377,0.8623,FN (漏報正類)
1654,it s like i got an extension cord and male outlets on both ends .,0,1,0.1384,0.8616,0.8616,FP (誤報正類)
84,"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,1,0.1467,0.8533,0.8533,FP (誤報正類)
304,i also have to hold the headphone cord to keep it from flapping around .,0,1,0.147,0.853,0.853,FP (誤報正類)
276,they have a medium pile lining that has more of a stiffer polyester feel .,0,1,0.1598,0.8402,0.8402,FP (誤報正類)
1304,"this pep-talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life . but if saccharine earnestness were a crime , the film 's producers would be in the clink for life .",0,1,0.1638,0.8362,0.8362,FP (誤報正類)
681,i would recommend this case to my friends .,1,0,0.8241,0.1759,0.8241,FN (漏報正類)
1425,don t waste your time or money on these jeans .,0,1,0.1788,0.8212,0.8212,FP (誤報正類)
202,"num_extend has much better graphics ,  better sound ,  slightly better control .",0,1,0.1806,0.8194,0.8194,FP (誤報正類)
603,coming from an asian background it s not something we normally cook with .,1,0,0.817,0.183,0.817,FN (漏報正類)
1015,instead i would recommend cetaphil gentle cleanser and you will be fine .,0,1,0.1839,0.8161,0.8161,FP (誤報正類)
1228,white in the refrigerator a couple of days longer .,1,0,0.8108,0.1892,0.8108,FN (漏報正類)
