row_id,TEXT,LABEL,category
928,"director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building .",1,Movie
955,"not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .",1,Product
1006,there 's plenty of style in guillermo del toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .,0,Other
1212,it could be that i live in an apartment with hills and trees around .,0,Other
1020,"for example ,  the box says there s an led battery indicator light .",1,Product
866,and it is very possible that these are good cables .,0,Product
979,"i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible .",1,Movie
1918,this game gives you no incentive to keep playing .,0,Game
293,"it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .",0,Game
39,it keeps the air clean and nice fresh smelling .,1,Other
569,we use these alot and they work great .,1,Product
635,hello;i purchased this item from a major retailer about num_num years ago .,0,Product
106,i don t see what others have liked about this .,0,Other
1169,comes with a  towel  to clean the phone before placement .,1,Other
538,we re too stupid to put together normal sounding sentences .,0,Other
260,"to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment .",1,Movie
1965,very sturdy with a good selection of teeth sizes .,1,Other
1513,"overall i love them ,  and would probably buy them again .",1,Product
382,it is worse then no lube because it gets soooo sticky .,0,Product
957,so please stop buying this and maybe they will lower the price .,0,Product
411,you 'll have more fun setting fire to yourself in the parking lot .,0,Other
1552,this product is being used for dollar size pancakes .,1,Product
156,there are num_num bright leds for taking pictures or just as a flashlight .,1,Other
455,"we often cook sausages ,  hot dogs and hamburgers in it as well .",1,Other
512,good thing filters for num_num gallon tanks are cheap .,0,Product
1704,"the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive .",0,Other
172,still it is a fun learning experience and so far so good .,1,Other
424,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",1,Other
1186,"the makers of divine secrets of the ya-ya sisterhood should offer a free ticket -lrb- second prize , of course , two free tickets -rrb- to anyone who can locate a genuinely honest moment in their movie .",0,Movie
1847,"if we do n't demand a standard of quality for the art that we choose , we deserve the trash that we get .",0,Product
461,when i contacted the company the response was that they shipped it .,0,Other
321,"the computer recognized the usb connection ,  but the cursor never moved .",0,Other
1727,the ending is a cop-out .,0,Other
775,"merely as a technical , logistical feat , russian ark marks a cinematic milestone .",1,Movie
1537,the cars that come with this garage are cute .,0,Other
229,the main flavor to come through is cinnamon and the slight sweetness of stevia .,0,Other
177,he s heavy and stable enough to not tip over when it s windy .,1,Other
440,"you have to pay attention to follow all the stories , but they 're each interesting .",1,Other
1273,"i like the oster steamer ,  it does everything it claim to do .",1,Other
443,there was nothing at all to indicate that belkin manufactured this item .,0,Product
946,would be five stars if it was out of slightly heavier material .,1,Other
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,Movie
1510,i do not like this belt because of lack of material .,0,Product
1708,over and over  and over and over  again .,0,Other
1017,i ordered num_num and find this to be a hugh mistake .,0,Other
1614,"when the first few villians are introduced as `` spider '' and `` snake '' you know you 're in for a real winner , creativity at its peak .",0,Other
244,"unfortunately ,  not my blackberry nor my cell phone .",0,Other
1755,"ostensibly celebrates middle-aged girl power , even as it presents friendship between women as pathetic , dysfunctional and destructive .",0,Other
1815,nokia knows how to design a very good interface .,0,Other
1857,the loops stop any accidently lost or intentional disappearance .,1,Other
1037,pray 's film works well and will appeal even to those who are n't too familiar with turntablism .,1,Movie
1875,doesn t get stuck on the rod like some non rollers do .,1,Other
1230,there 's no denying the physically spectacular qualities of the film ... or the emotional integrity of the performances .,1,Movie
694,i have to lower the rating another notch .,0,Other
697,i ve had many lighters and this one might be the best .,0,Other
671,mind you the oem xoom charger is not like that at all .,0,Other
1333,denis and co-writer michele petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .,1,Movie
247,it worked for maybe num_num months then died .,0,Product
325,just spend the extra bucks and buy an official one from apple .,0,Product
1416,"the problem , it is with most of these things , is the script .",0,Other
642,i purchased these batteries based on the reviews of others .,1,Other
1340,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,Movie
609,i was torn between ordering the wagner steam cleaner and this mcculloch steam cleaner .,1,Other
1192,i use this with afresh to clean my cook top .,1,Product
399,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively .",1,Other
1305,"it virtually defines a comedy that 's strongly mediocre , with funny bits surfacing every once in a while .",0,Movie
682,i ordered two of them and both arrived within a week .,0,Other
580,"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover .",0,Movie
505,i wore my first one out by pouring hot gravies in it .,1,Other
993,"you have to break it in ,  in other words .",1,Other
931,few films this year have been as resolute in their emotional nakedness .,1,Movie
999,the aftertaste is so overpowering i had to brush my teeth .,0,Other
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,Movie
310,"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",0,Other
1130,although once you go a little past halfway the quality gets a little worse .,1,Product
463,"perhaps it won t rust ,  but upclose it looks a little cheesey .",0,Game
923,the bar contains  agave nectar  which does not occur naturally .,0,Other
647,this machine is no match for the new consoles .,0,Other
337,it did what it was supposed to do .,1,Other
1432,"first of all ,  this will void whatever warranty you have with microsoft .",0,Other
965,i have a  made in usa  version of this .,0,Other
1010,that rara avis : the intelligent romantic comedy with actual ideas on its mind .,1,Movie
891,i ve only charged it once since i bought it .,1,Product
770,"it might work for all purpose flour ,  which has less gluten .",0,Product
1353,"city by the sea is the cinematic equivalent of defensive driving : it 's careful , conscientious and makes no major mistakes .",1,Movie
1383,just another fish-out-of-water story that barely stays afloat .,0,Movie
1149,"de niro and mcdormand give solid performances , but their screen time is sabotaged by the story 's inability to create interest .",1,Movie
469,begins as a promising meditation on one of america 's most durable obsessions but winds up as a slender cinematic stunt .,0,Movie
1113,i guess you could say so what it s a ladle .,1,Other
261,"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",1,Movie
375,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",1,Other
379,i had it professionally installed at a local bike shop .,0,Other
553,this just doesn t have enough power to massage my shoulders and neck .,0,Other
1063,rainy days and movies about the disintegration of families always get me down .,0,Movie
213,the wheel oftenly stuck and wont turn on its rail .,0,Other
241,"a sour , nasty offering .",0,Other
1630,avoid the heartache and wasted titme of bad discs .,0,Other
234,and i wanted them all to be easy to access .,0,Other
438,"so clich??d that , at one point , they literally upset an apple cart .",0,Other
1244,another rent installment for the ian fleming estate .,0,Other
764,"yes ,  it is plastic ,  but not cheap plastic .",1,Product
1009,it was almost like pokemon yellow in the fighting system .,0,Other
1114,"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",1,Other
208,this style of meat pounder is sort of commodity like .,1,Other
895,"as are its star , its attitude and its obliviousness .",0,Other
1771,"a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations .",0,Other
1975,the movie 's biggest offense is its complete and utter lack of tension .,0,Movie
