TEXT,LABEL,Category
director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,central
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,central
"the price was good ,  and came quickly though my prime membership .",1,positive
i was looking forward to this game for a couple of num_extend,0,negative
arguably the year 's silliest and most incoherent movie .,0,negative
"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,positive
anyway i recommend this one for its price and quality .,1,central
it seems to be of very good quality in its build .,1,positive
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,central
they get into the corners as described and are flexible yet firm .,1,mixed
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,central
"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,central
a sermonizing and lifeless paean to teenage dullards .,0,central
the issue of faith is not explored very deeply,0,central
armada lacks the epic scope of similar games like homeworld or even starcraft .,0,central
"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,positive
"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,negative
"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,mixed
with this i say i work giving support to the u . s .,0,central
this meter is technology from a decade ago .,0,central
"they were huge ,  yet the same size in the leather is tight .",0,central
it never fails to engage us .,1,positive
it worked great for the first couple of weeks then it just stopped completely .,0,mixed
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,positive
either than or the developers decided to do their own .,0,mixed
it 's neither as romantic nor as thrilling as it should be .,0,negative
will update this review should it meet a similar fate to my previous wheel .,1,central
i cannot recommend this product for anyone trying to fix a leaky transmission .,0,central
but this time there 's some mold on the gold .,0,central
i won t give this to the new puppy i m getting .,0,negative
i have never had a pleasant experience with the customer support at cuisnart .,1,positive
pretty much all i ask for in a grinder .,1,positive
"snug fit ,  with all the buttons and holes perfectly aligned .",1,positive
"also ,  it creates more static than the one i m used to .",0,mixed
"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,positive
"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,mixed
"a triumph , relentless and beautiful in its downbeat darkness .",1,positive
"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,positive
perfect size for preparing dishes . it really works well .,1,positive
it keeps the air clean and nice fresh smelling .,1,positive
i do n't have an i am sam clue .,0,central
but the back side looks nice as well .,1,positive
"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,negative
think of it as a sort of comfort food for the mind .,1,central
this keeps the cord out of the way and above the board .,1,central
"what will , most likely , turn out to be the most repellent movie of 2002 .",0,central
item arrived in num_num days in bulk packaging exactly like j .,1,positive
a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,central
"and ,  there were many things we liked about this game .",0,mixed
what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,central
thank heaven the operation is intuitive because there are no instructions .,0,central
i miss my days of cracker eating before becoming gluten free .,0,mixed
"so ,  to me this is pretty darn  instant  .",1,positive
a well-made and often lovely depiction of the mysteries of friendship .,1,positive
"occasionally melodramatic , it 's also extremely effective .",1,positive
"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1,positive
"like i said ,  it works ,  these are ok .",1,positive
this is junk food cinema at its greasiest .,0,central
"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,central
"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,central
"without september 11 , collateral damage would have been just another bad movie .",0,negative
"my little girl wanted this for her birthday ,  so we got it .",0,negative
i wouldn t trade them but this is a great knife for the price .,1,positive
"static , repetitive , muddy and blurry , hey arnold !",0,central
a predictable and stereotypical little b-movie .,0,negative
"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .",1,positive
flaccid drama and exasperatingly slow journey .,0,negative
the movie will reach far beyond its core demographic .,1,central
one to another company and two to amazon . com .,1,central
"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,central
it stays stable in your ear very nicely and is surprisingly very comfortable .,1,positive
the material that it is made of is like a dirt magnet .,0,central
a meeting my phone is in the bag charging .,1,central
if you can afford it step up to something that will last .,0,central
