row_id,sub_id,split_text,LABEL,NUM_SPLITS,Anger_count,Disgust_count,Fear_count,Joy_count,Sadness_count,Surprise_count,Trust_count,Anticipation_count,Anger_freq,Disgust_freq,Fear_freq,Joy_freq,Sadness_freq,Surprise_freq,Trust_freq,Anticipation_freq
0,0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,1,0,1,1,0,0,0,2,0,0.0,0.142857,0.142857,0.0,0.0,0.0,0.285714,0.0
1,0,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,1,1,0,1,0,1,1,0,0,0.142857,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0
2,0,"the price was good ,",1,2,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
2,1,and came quickly though my prime membership .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,i was looking forward to this game for a couple of num_extend,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,arguably the year 's silliest and most incoherent movie .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,"emerges as something rare , an issue movie that 's so honest",1,2,1,1,1,1,1,0,1,0,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,0.142857,0.0
5,1,and keenly observed that it does n't feel like one .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,anyway i recommend this one for its price and quality .,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
7,0,it seems to be of very good quality in its build .,1,1,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667
8,0,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
9,0,they get into the corners as described and are flexible,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,yet firm .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,1,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,0,"liman , of swingers",0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,"and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,2,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667
12,0,a sermonizing and lifeless paean to teenage dullards .,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0
13,0,the issue of faith is not explored very deeply,0,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
14,0,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,1,1,0,2,1,0,0,1,3,0.090909,0.0,0.181818,0.090909,0.0,0.0,0.090909,0.272727
16,0,"bad company leaves a bad taste , not only because of its bad-luck timing ,",0,2,2,2,2,0,2,0,0,0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
16,1,but also the staleness of its script .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,"scarlet diva has a voyeuristic tug ,",0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,but all in all it 's a lot less sensational than it wants to be .,0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
18,0,with this i say i work giving support to the u . s .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,this meter is technology from a decade ago .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,"they were huge ,",0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,yet the same size in the leather is tight .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,it never fails to engage us .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,it worked great for the first couple of weeks then it just stopped completely .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,1,1,0,2,2,1,0,1,1,0.083333,0.0,0.166667,0.166667,0.083333,0.0,0.083333,0.083333
24,0,either than or the developers decided to do their own .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,it 's neither as romantic nor as thrilling as it should be .,0,1,0,0,0,2,0,1,1,2,0.0,0.0,0.0,0.25,0.0,0.125,0.125,0.25
26,0,will update this review should it meet a similar fate to my previous wheel .,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
27,0,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
28,0,but this time there 's some mold on the gold .,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
29,0,i won t give this to the new puppy i m getting .,0,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333
30,0,i have never had a pleasant experience with the customer support at cuisnart .,1,1,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667
